#image movie
"Avengers: Endgame" https://upload.wikimedia.org/wikipedia/en/0/0d/Avengers_Endgame_poster.jpg
"Avengers: Infinity War" https://upload.wikimedia.org/wikipedia/en/4/4d/Avengers_Infinity_War_poster.jpg
"Eternals" https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Eternals_%28film%29_poster.jpeg/220px-Eternals_%28film%29_poster.jpeg
"Shang Chi and the Legend of the Ten Rings" https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Shang-Chi_and_the_Legend_of_the_Ten_Rings_poster.jpeg/220px-Shang-Chi_and_the_Legend_of_the_Ten_Rings_poster.jpeg
"Black Panther" https://upload.wikimedia.org/wikipedia/en/d/d6/Black_Panther_%28film%29_poster.jpg
"Thor : Ragnarok" https://upload.wikimedia.org/wikipedia/en/7/7d/Thor_Ragnarok_poster.jpg

#video trailer
"Avengers: Endgame" https://youtu.be/TcMBFSGVi1c
"Avengers: Infinity War" https://youtu.be/6ZfuNTqbHE8
"Eternals" https://youtu.be/x_me3xsvDgk
"Shang Chi and the Legend of the Ten Rings" https://youtu.be/8YjFbMbfXaQ
"Black Panther" https://youtu.be/xjDjIWPwcPU
"Thor : Ragnarok" https://youtu.be/ue80QwXMRHg
